1981,7.483,Denmark
1982,7.419,Denmark
1983,8.23,Denmark
1984,8.637,Denmark
1985,8.318,Denmark
1986,6.607,Denmark
1987,7.225,Denmark
1988,6.753,Denmark
1989,8.736,Denmark
1990,9.524,Denmark
1991,9.674,Denmark
1992,8.565,Denmark
1993,9.264,Denmark
1994,7.952,Denmark
1995,8.755,Denmark
1996,8.495,Denmark
1997,7.204,Denmark
1998,8.857,Denmark
1999,8.319,Denmark
2000,9.074,Denmark
2001,9.531,Denmark
2002,8.471,Denmark
2003,9.257,Denmark
2004,8.834,Denmark
2005,8.919,Denmark
2006,8.952,Denmark
2007,9.515,Denmark
2008,9.529,Denmark
2009,9.628,Denmark
2010,8.939,Denmark
2011,6.965,Denmark
2012,9.181,Denmark
2013,8.4,Denmark
1743,13.498,Turkey
1744,10.013,Turkey
1745,14.935,Turkey
1746,12.792,Turkey
1751,13.677,Turkey
1752,14.0,Turkey
1753,12.118,Turkey
1754,13.239,Turkey
1755,13.365,Turkey
1756,13.139,Turkey
1757,13.886,Turkey
1758,13.659,Turkey
1759,11.956,Turkey
1760,12.993,Turkey
1761,12.478,Turkey
1762,13.574,Turkey
1763,13.458,Turkey
1764,12.571,Turkey
1765,13.596,Turkey
1766,13.516,Turkey
1767,13.396,Turkey
1768,13.078,Turkey
1769,11.915,Turkey
1770,13.101,Turkey
1771,13.091,Turkey
1772,13.015,Turkey
1773,14.118,Turkey
1774,13.53,Turkey
1775,13.83,Turkey
1776,14.121,Turkey
1777,12.981,Turkey
1778,12.976,Turkey
1779,13.804,Turkey
1780,13.864,Turkey
1781,13.716,Turkey
1782,13.557,Turkey
1783,12.906,Turkey
1784,13.172,Turkey
1785,13.182,Turkey
1786,12.388,Turkey
1787,12.907,Turkey
1788,13.427,Turkey
1789,13.393,Turkey
1790,13.512,Turkey
1791,13.403,Turkey
1792,13.911,Turkey
1793,13.218,Turkey
1794,13.062,Turkey
1795,13.696,Turkey
1796,13.432,Turkey
1797,13.427,Turkey
1798,14.097,Turkey
1799,13.733,Turkey
1800,13.067,Turkey
1801,13.566,Turkey
1802,14.194,Turkey
1803,14.304,Turkey
1804,13.155,Turkey
1805,13.48,Turkey
1806,12.826,Turkey
1807,13.697,Turkey
1808,13.83,Turkey
1809,12.522,Turkey
1810,12.333,Turkey
1811,12.664,Turkey
1812,12.941,Turkey
1813,12.157,Turkey
1814,12.452,Turkey
1815,12.562,Turkey
1816,12.394,Turkey
1817,12.142,Turkey
1818,12.606,Turkey
1819,13.089,Turkey
1820,12.972,Turkey
1821,12.872,Turkey
1822,12.825,Turkey
1823,13.096,Turkey
1824,13.226,Turkey
1825,14.054,Turkey
1826,12.956,Turkey
1827,12.886,Turkey
1828,13.815,Turkey
1829,12.932,Turkey
1830,12.407,Turkey
1831,13.015,Turkey
1832,12.708,Turkey
1833,11.609,Turkey
1834,12.9,Turkey
1835,13.105,Turkey
1836,12.371,Turkey
1837,13.005,Turkey
1838,12.215,Turkey
1839,12.111,Turkey
1840,12.656,Turkey
1841,12.194,Turkey
1842,13.575,Turkey
1843,12.716,Turkey
1844,13.11,Turkey
1845,12.586,Turkey
1846,13.255,Turkey
1847,13.921,Turkey
1848,13.203,Turkey
1849,13.5,Turkey
1850,12.876,Turkey
1851,12.531,Turkey
1852,13.499,Turkey
1853,13.239,Turkey
1854,14.014,Turkey
1855,12.815,Turkey
1856,13.14,Turkey
1857,12.741,Turkey
1858,12.184,Turkey
1859,12.36,Turkey
1860,13.306,Turkey
1861,13.763,Turkey
1862,12.669,Turkey
1863,13.055,Turkey
1864,13.486,Turkey
1865,12.62,Turkey
1866,12.906,Turkey
1867,13.104,Turkey
1868,12.751,Turkey
1869,13.066,Turkey
1870,13.403,Turkey
1871,12.89,Turkey
1872,12.928,Turkey
1873,14.252,Turkey
1874,13.834,Turkey
1875,13.102,Turkey
1876,12.04,Turkey
1877,13.388,Turkey
1878,13.321,Turkey
1879,13.725,Turkey
1880,13.711,Turkey
1881,12.451,Turkey
1882,12.514,Turkey
1883,13.052,Turkey
1884,12.972,Turkey
1885,12.585,Turkey
1886,13.511,Turkey
1887,13.524,Turkey
1888,13.47,Turkey
1889,12.48,Turkey
1890,12.972,Turkey
1891,13.061,Turkey
1892,12.878,Turkey
1893,13.817,Turkey
1894,12.221,Turkey
1895,12.675,Turkey
1896,13.421,Turkey
1897,13.052,Turkey
1898,13.098,Turkey
1899,13.503,Turkey
1900,13.419,Turkey
1901,13.812,Turkey
1902,13.604,Turkey
1903,13.106,Turkey
1904,13.277,Turkey
1905,13.036,Turkey
1906,13.04,Turkey
1907,13.153,Turkey
1908,12.479,Turkey
1909,12.639,Turkey
1910,13.434,Turkey
1911,13.537,Turkey
1912,12.849,Turkey
1913,12.98,Turkey
1914,12.781,Turkey
1915,12.804,Turkey
1916,13.827,Turkey
1917,14.478,Turkey
1918,13.717,Turkey
1919,13.703,Turkey
1920,13.617,Turkey
1921,12.57,Turkey
1922,12.888,Turkey
1923,13.552,Turkey
1924,14.302,Turkey
1925,13.167,Turkey
1926,13.766,Turkey
1927,13.854,Turkey
1928,14.159,Turkey
1929,13.18,Turkey
1930,12.973,Turkey
1931,14.07,Turkey
1932,13.351,Turkey
1933,13.649,Turkey
1934,12.41,Turkey
1935,14.096,Turkey
1936,13.703,Turkey
1937,13.996,Turkey
1938,14.44,Turkey
1939,13.606,Turkey
1940,14.001,Turkey
1941,12.893,Turkey
1942,13.129,Turkey
1943,12.663,Turkey
1944,13.026,Turkey
1945,13.415,Turkey
1946,13.309,Turkey
1947,13.999,Turkey
1948,14.022,Turkey
1949,12.938,Turkey
1950,12.779,Turkey
1951,13.858,Turkey
1952,14.192,Turkey
1953,14.512,Turkey
1954,12.94,Turkey
1955,13.248,Turkey
1956,14.16,Turkey
1957,12.786,Turkey
1958,13.704,Turkey
1959,14.071,Turkey
1960,12.926,Turkey
1961,14.111,Turkey
1962,13.908,Turkey
1963,14.261,Turkey
1964,13.777,Turkey
1965,13.02,Turkey
1966,13.298,Turkey
1967,14.882,Turkey
1968,13.334,Turkey
1969,13.643,Turkey
1970,13.561,Turkey
1971,14.044,Turkey
1972,13.366,Turkey
1973,13.461,Turkey
1974,13.213,Turkey
1975,13.225,Turkey
1976,13.62,Turkey
1977,12.611,Turkey
1978,13.797,Turkey
1979,13.429,Turkey
1980,14.029,Turkey
1981,13.171,Turkey
1982,13.657,Turkey
1983,13.366,Turkey
1984,13.411,Turkey
1985,13.584,Turkey
1986,13.406,Turkey
1987,13.575,Turkey
1988,12.949,Turkey
1989,13.41,Turkey
1990,13.605,Turkey
1991,14.069,Turkey
1992,12.91,Turkey
1993,13.107,Turkey
1994,13.157,Turkey
1995,14.626,Turkey
1996,13.853,Turkey
1997,13.36,Turkey
1998,13.048,Turkey
1999,14.055,Turkey
2000,14.814,Turkey
2001,14.254,Turkey
2002,14.758,Turkey
2003,14.383,Turkey
2004,13.671,Turkey
2005,14.139,Turkey
2006,14.006,Turkey
2007,13.814,Turkey
2008,14.831,Turkey
2009,14.664,Turkey
2010,14.668,Turkey
2011,15.235,Turkey
2012,13.578,Turkey
2013,14.854,Turkey
1820,0.01,Kazakhstan
1821,-0.076,Kazakhstan
1822,1.112,Kazakhstan
1823,1.084,Kazakhstan
1824,0.397,Kazakhstan
